Lemma;s.Genitiv;es.Genitiv
Drogengebraucher;4;0
Dschungelcamp;4;0
Durchgang;4;1
Durchschnittseinkommen;4;0
Dünger;4;0
Dünndarm;4;1
E-Mail-Absender;4;0
EU-Ministerrat;4;1
EU-Staat;4;0
Ecklohn;4;0
Eichhörnchen;4;0
Eigentumsrecht;4;2
Eimer;4;0
Eintreten;4;0
Elternwahlrecht;4;0
Emir;4;0
Endanwender;4;0
Endgerät;4;1
Energieräuber;4;0
Entscheider;4;0
Entwickler-Account;4;0
Entwicklerstudio;4;0
Entwicklungsteam;4;0
Epizentrum;4;0
Erdöl;4;0
Erklärungsmodell;4;0
Erlernen;4;0
Ermittlungsrichter;4;0
Erstaunen;4;0
Erzeuger;4;0
Erziehungssystem;4;0
Essig;4;0
Evergreen;4;0
Expertengespräch;4;0
Expertengremium;4;0
Exportieren;4;0
Facebook-Gründer;4;0
Fachtag;4;1
Faden;4;0
Falken-Bau-Projekt;4;0
Familiensender;4;0
Familienvater;4;0
Fanboy;4;0
Fandom;4;0
Farmer;4;0
Fastenmonat;4;0
Feigling;4;0
Feld;4;80
Fernsehturm;4;1
Filet;4;0
Filmen;4;0
Filmkritiker;4;0
Finanzier;4;0
Finden;4;0
Firefox-Browser;4;0
Firmennamen;4;0
Fische-Zeitalter;4;0
Fischfang;4;0
Fitness-Center;4;0
Flaneur;4;0
Flechten;4;0
Fleischklopfer;4;0
Flickr-Pool;4;0
Fließen;4;0
Fluch;4;5
Flughafen-Kartell;4;0
Flughafenausbau;4;0
Flugpersonal;4;0
Flutscheitel;4;0
Flächenverbrauch;4;0
Fordern;4;0
Fortgang;4;0
Foul;4;0
Fragenkatalog;4;0
Fragment;4;2
Frauenkörper;4;0
Frauentag;4;5
Freibad;4;7
Freiraum;4;2
Freitod;4;1
Fremdenverkehr;4;0
Friseurladen;4;0
Frohsinn;4;0
Frontmann;4;1
Frühstücksattentat;4;0
Frühwarnsystem;4;0
Funktionsumfang;4;1
Fusionsreaktor;4;0
Fußballer;4;0
Förderahmenplan;4;0
Förderzeitraum;4;0
Führungspersonal;4;0
G-8-Gipfel;4;0
GPS-Chip;4;0
Gala-Abend;4;0
Galgen;4;0
Ganztagsangebot;4;2
Gartenbau;4;0
Gastautor;4;0
Gatekeeper;4;0
Gebrauchsmuster;4;0
Gedankengut;4;6
Gefangenenaustausch;4;0
Gefangenenlager;4;0
Gefängnisaufenthalt;4;2
Gegensonnenpunkt;4;2
Geheimdienst;4;32
Gehirnschlag;4;0
Gehweg;4;0
Gemeindeleben;4;0
Gemeinwillen;4;0
Genehmigungsverfahren;4;0
Gentechnik-Hersteller;4;0
Geplänkel;4;0
Gerichtsurteil;4;0
Gesamtunternehmen;4;0
Gesamtverband;4;1
Gesamtüberleben;4;0
Geschichtswettbewerb;4;0
Geschlechtsleben;4;0
Gesellschaftsspiel;4;0
Gesundheitsamt;4;15
Gesundheitsminister;4;0
Gewalt-Verbrechen;4;0
Ghanaer;4;0
Gitarrensolo;4;0
Glühwein;4;0
Golfclub;4;0
Golfschwung;4;0
Google-Account;4;0
Google-Browser;4;0
Google-Konto;4;0
Grasoval;4;0
Großunternehmen;4;0
Grundbedarf;4;1
Grundeigentum;4;0
Grundlagenwissen;4;0
Grundsatzprogramm;4;4
Grundstudium;4;0
Grundvermögen;4;0
Grundversorger;4;0
Güterbahnhof;4;0
HIV-Schnelltest;4;0
Hacker-Angriff;4;0
Hamas-Regierungsboykott;4;0
Hauptautor;4;0
Hauptbenutzer;4;0
Haupteingang;4;0
Hauptrechner;4;0
Hauptschiff;4;1
Hauptstadtbüro;4;0
Hausbau;4;0
Hauseigentümer;4;0
Haushaltseinkommen;4;0
Hausmeister;4;0
Hausprojekt;4;15
Hebammenberuf;4;4
Heimatterritorium;4;0
Heimteam;4;0
Heimverein;4;0
Heizkraftwerk;4;0
Helmholtz-Zentrum;4;0
Helm;4;6
Henkel;4;0
Herunterladen;4;0
Heute-Journal;4;0
Hiersein;4;0
Hilfesystem;4;0
Hindenburgufer;4;0
Hip-Hopper;4;0
Hochladen;4;0
Hochland;4;2
Hochschulsystem;4;0
Hochstapler;4;0
Holzlöffel;4;0
Hub;4;0
Hufeisen;4;0
Hygienebedarf;4;0
Hängen;4;0
Höhepunkt;4;3
Hörfunk;4;0
Hüftgelenk;4;2
Hüte-Magazin;4;0
IT-System;4;0
Immobilienwert;4;0
Informationsmanagement;4;0
Informationszugang;4;0
Infragestellen;4;0
Initiator;4;0
Innenohr;4;3
Innere-Tertial;4;0
Inquisitionsverfahren;4;0
Integrationsministerium;4;0
Internethandel;4;0
Internetnutzer;4;0
Internetprovider;4;0
Intranet;4;0
Investiturstreit;4;1
Jahresgehalt;4;2
Jahrestag;4;10
Jahrestreffen;4;0
Jahresverbrauch;4;1
Joker;4;0
Judenmörder;4;0
Junker;4;0
Juwelenstupa;4;0
Kamera-Handy;4;0
Kaminofen;4;0
Kammergericht;4;0
Kampfschmuck;4;0
Kaninchen;4;0
Kapitalverbrechen;4;0
Karatesport;4;0
Karrierekonto;4;0
Kartellverbot;4;0
Katholiken-Oberhaupt;4;0
Katzenbereich;4;0
Kaufverhalten;4;0
Keil;4;0
Kernbereich;4;0
Kindergartenbesuch;4;0
Kinematheksverbund;4;0
Kirchenvolk;4;0
Kittel;4;0
Klassenfeind;4;7
Klick;4;0
Klonen;4;0
Knecht;4;7
Kniegelenk;4;1
Knoblauch;4;0
Knorpel;4;0
Knöchel;4;0
Kolleg;4;0
Kommentieren;4;0
Kompendium;4;0
Kompressor;4;0
Kondensator;4;0
Kongresszentrum;4;0
Kontrast;4;0
Kopfhörer;4;0
Kopftuchverbot;4;0
Korken;4;0
Korrigieren;4;0
Kraftfutter;4;0
Kranksein;4;0
Krebsregister;4;0
Kredit-Check;4;0
Kreditnehmer;4;0
Kreml;4;0
Kreuzgang;4;4
Kreuzworträtsel;4;0
Kriegsgebiet;4;2
Kriminalgericht;4;0
Kritikpapier;4;0
Kugelschreiber;4;0
Kultfilm;4;0
Kulturaustausch;4;0
Kulturkampf;4;2
Kunstmuseum;4;0
Kupfer;4;0
Kurvenfan;4;0
Kurzhörspielwettbewerb;4;0
Kurztrip;4;0
Kölnpfad;4;0
Küchenschrank;4;2
Kühlwasser;4;0
Lagerfeuer;4;0
Landesamt;4;14
Landesgeschäftsführer;4;0
Landeslager;4;0
Landesmedienzentrum;4;0
Landgraben;4;0
Lar;4;0
Laufwerk;4;8
Lautsprecherwagen;4;0
Lautstärkepegel;4;0
Lebenslauf;4;6
Lebensmodell;4;0
Lebensrecht;4;0
Lehrauftrag;4;0
Lehrbetrieb;4;1
Lehrgang;4;0
Leihwagen;4;0
Leitartikel;4;0
Leitungsteam;4;0
Lenkrad;4;0
Lernerfolg;4;5
Lernmanagementsystem;4;0
Lieblingsspiel;4;0
Limit;4;0
Limonistollen;4;0
Linkssein;4;0
Lissabon-Vertrag;4;6
Literaturübersetzerverband;4;0
Lizenzbaukasten;4;0
Lizenzgeber;4;0
Lizenzmodell;4;0
Loch;4;12
Logo-Wettbewerb;4;0
Losschlagen;4;0
Luftangriff;4;1
Luftschlag;4;0
Länderrat;4;1
Löwenzahn;4;0
Macher;4;0
Mafiavergleich;4;0
Magnetfeld;4;31
Magnus-Hirschfeld-Ufer;4;0
Maiswurzelbohrer;4;0
Mammon;4;0
Manager-Magazin;4;0
Marktbeherrscher;4;0
Marktbrunnen;4;0
Marktmachtmissbrauch;4;2
Marsch;4;9
Maschinengewehr;4;2
Match-Abo;4;0
Mathematiker;4;0
Maximum;4;0
Mediationsverfahren;4;0
Medienrat;4;1
Mediensystem;4;0
Medienzentrum;4;0
Mediumwandel;4;0
Medizinmarketing;4;0
Meeresboden;4;0
Mehrheits-Eigner;4;0
Meilenstein;4;1
Meldezettel;4;0
Menschengeschlecht;4;0
Mietshäusersyndikat;4;1
Millennium;4;0
Milliardenprojekt;4;0
Minarett;4;0
Ministeramt;4;1
Ministerrücktritt;4;0
Mischer;4;0
Mitgliederbegehren;4;0
Mitmachen;4;0
Mitschüler;4;0
Mitstreiter;4;0
Mittelnamen;4;0
Mobilfunkvertrag;4;2
Modellversuch;4;0
Monatsdurschnitt;4;0
Mord;4;63
Mullah-Chef;4;0
Mundwinkel;4;0
Musikalbum;4;0
Musikbetrieb;4;0
Musikinstrument;4;1
Musiklehrer;4;0
Musikmagazin;4;0
Muskel;4;0
Mörtel;4;0
Mülleimer;4;0
Müssen;4;0
Nachrichtenprovider;4;0
Nachteilsausgleich;4;0
Nachtleben;4;0
Nadeldrucker;4;0
Nagel;4;0
Nahostquartett;4;0
Nahverkehr;4;0
Namenspatron;4;0
Namenswechsel;4;0
Nashornkäfer;4;0
Nationalfeiertag;4;5
Naturkundemuseum;4;0
Navigationsfehler;4;0
Navigationssystem;4;0
Nazidemo;4;0
Naziproblem;4;0
Neanderthaler;4;0
Nebenmann;4;4
Neid;4;2
Neigungswinkel;4;0
Netzausbau;4;0
Netzbetrieb;4;5
Netzschwinger;4;0
Nicht-Besitzer;4;0
Nicht-Handeln;4;0
Nicht-Vorhanden-Sein;4;0
Nicht-Wissen;4;0
Nichtraucher;4;0
Nichtverstehen;4;0
Niederländer;4;0
Niedriglohnarbeiter;4;0
Nord-Ostsee-Kanal;4;0
Nordhang;4;0
Oberlauf;4;0
Ohr;4;7
Ohrwurm;4;0
Online-Archiv;4;0
Online-Bild;4;0
Online-Forum;4;0
Onlineangebot;4;16
Open-Access-Publizieren;4;0
Open-Content-Programm;4;0
Open-Source-Browser;4;0
Orangenzucker;4;0
Ortskern;4;0
Ortsnamen;4;0
Ostufer;4;0
Outback;4;0
Pagerank;4;0
Paketlieferer;4;0
Pannenreaktor;4;0
Papierkorb;4;1
Paprika;4;0
Papst;4;186
Patentamt;4;1
Penner;4;0
Personalchef;4;0
Persönlichkeitsrecht;4;3
Pinguin;4;0
Placeboeffekt;4;1
Planen;4;0
Planetarium;4;0
Plastik;4;0
Plattenkondensator;4;0
Platzmangel;4;0
Podcasting;4;0
Politikwechsel;4;0
Polizeivergleich;4;0
Pony;4;0
Porträt;4;0
Pressegespräch;4;0
Presslufthammer;4;0
Primärenergieverbrauch;4;0
Printmagazin;4;0
Profisport;4;0
Programmieren;4;0
Projektbegriff;4;0
Projektblog;4;0
Projektteam;4;0
Projektverlauf;4;0
Promi;4;0
Prosateil;4;0
Prüfbericht;4;1
Pudding;4;0
Push-Problem;4;0
Puzzle-Spiel;4;0
Quorum;4;0
RWE-Chef;4;0
Rachen;4;0
Radfahren;4;0
Radiokonsum;4;0
Radiostudio;4;0
Raubtier;4;0
Rauschen;4;0
Recherchieren;4;0
Rechnungshof;4;6
Rechnungswesen;4;0
Rechtsmittel;4;0
Rechtsrahmen;4;0
Referentenentwurf;4;0
Regenschirm;4;0
Regenwetter;4;0
Regenwurm;4;0
Regionalplan;4;1
Reinigungsmittelhersteller;4;0
Reinigungspersonal;4;0
Reisekönigtum;4;0
Republikaner-Chef;4;0
Ressortleiter;4;0
Richterspruch;4;0
Riechen;4;0
Riesenwerk;4;0
Rippenbogen;4;0
Ritualmörder;4;0
Rohling;4;0
Rohmaterial;4;0
Rohstoff;4;10
Rollator;4;0
Roller;4;0
Romanschreiben;4;0
Rotlicht;4;0
Rucksacktrailer;4;0
Rückbau;4;0
Rückruf;4;0
Rührei;4;0
S-Bahn-Ring;4;2
SQL-Server;4;0
SZ-Artikel;4;0
Satiremagazin;4;0
Satiriker;4;0
Saturn;4;0
Satzbau;4;0
Saufen;4;0
Saxophon;4;0
Schachbrett;4;2
Schall;4;3
Schatzmeister;4;0
Scheck;4;0
Schein;4;2
Scheitelpunkt;4;0
Schluckauf;4;0
Schmelzwasser;4;0
Schnittlauch;4;0
Schock;4;0
Schockwellenreiter;4;0
Schrifttum;4;0
Schubhäftling;4;0
Schubladendenken;4;0
Schuldprinzip;4;0
Schulhof;4;1
Schultyp;4;0
Schulzentrum;4;0
Schweinesystem;4;0
Schwulsein;4;0
Screening-Programm;4;0
Seefahrer;4;0
Segen;4;0
Seitenbesucher;4;0
Seitenschiff;4;6
Sekretär;4;0
Selbstmitleid;4;2
Selbstvertrauen;4;0
Semster;4;0
Sendeprogramm;4;0
September-Musikevent;4;0
Serveranbieter;4;0
Sexualverkehr;4;0
Sicherheitspersonal;4;0
Sieb;4;2
Sieg;4;48
Skateboarder;4;0
Sketch;4;2
Sofortkauf;4;0
Software-Hersteller;4;0
Sommerkino;4;0
Sommerloch;4;0
Sonnenflüsterer;4;0
Sonnenstrahl;4;0
Sonntagsausflug;4;0
Sorgerecht;4;1
Sozialapparat;4;0
Sozialhilfeniveau;4;0
Sozialprojekt;4;0
Sozialrecht;4;1
Soziologie-Studium;4;0
Spaghettimonster;4;0
Spamfilter;4;0
Speaker;4;0
Speedlab;4;0
Speisezettel;4;0
Spendenkonto;4;0
Spiegel-Artikel;4;0
Spiele-Anbieter;4;0
Spielfilm;4;1
Spitzenverbrauch;4;0
Splitting;4;0
Sportpark;4;0
Sportverein;4;0
Sprachspiel;4;0
Sprachwissenschaftler;4;0
Springerkonzern;4;0
Sprößling;4;0
Spätsommer;4;0
Staatsministerium;4;0
Stadtgebiet;4;6
Stadtkern;4;0
Stadtklima;4;0
Stadtkörper;4;0
Stadtumbau;4;0
Stahlwerk;4;3
Standstreifen;4;0
Stapel;4;0
Starten;4;0
Startvorgang;4;0
Statuskonsum;4;0
Staubsauger;4;0
Steak;4;0
Stichwort;4;5
Stimmgewicht;4;0
Stinkefinger-Foto;4;0
Stipendiensystem;4;0
Stock;4;0
Strafverteidiger;4;0
Strauch;4;1
Stresstest;4;0
String;4;0
Studiendesign;4;0
Studieren;4;0
Stör;4;0
Subjektbegriff;4;0
Suizid;4;1
Summerboard;4;0
Surfausflug;4;0
Surfverhalten;4;0
Synchronisationsstrahl;4;0
Syndikat;4;0
Südturm;4;0
Südwesten;4;0
Sündenfall;4;0
T-Mobile-Vertrag;4;0
TAZ-Artikel;4;0
TV-Programm;4;0
Tabakkonsum;4;0
Tabellenführer;4;0
Tablet-PC;4;0
Tafelsilber;4;0
Tagesanzeiger;4;0
Tandem-Verlag;4;0
Tanzstudio;4;0
Taskmanager;4;0
Taufbecken;4;0
Teilabkommen;4;0
Telefonverlauf;4;0
Telekommunikationsanbieter;4;0
Terminal-Icon;4;0
Tertial;4;0
Textbrowser;4;0
Thalia-Theater;4;0
Theatersyndikat;4;0
Therapiebeginn;4;0
Thesenpapier;4;0
Ticker;4;0
Tierrechte-Posting;4;0
Tischler;4;0
Titelschutzanzeiger;4;0
Tomatenliebhaber;4;0
Tonträgerherstellerrecht;4;0
Top-Management;4;0
Totschlag;4;0
Trainingsplan;4;0
Traumjob;4;0
Trickfilm;4;0
Truppenabzug;4;0
Trägermedium;4;0
Twitter-Tool;4;0
Twitterer;4;0
Typ’;4;0
Tänzer;4;0
Töpfchen;4;0
Tümpel;4;0
U-Bahnhof;4;1
U-Boot;4;1
UEFA-Pokal;4;0
UN-Erdgipfel;4;0
UN-Menschenrechtsrat;4;0
US-Bundesstaat;4;4
US-Copyright;4;0
US-Dollar;4;0
Uhrwerk;4;0
Umlagesystem;4;0
Umlauf;4;0
Uniklinikum;4;0
Unterrichtsgang;4;0
Uploader;4;0
Uranus-Pluto-Quadrat;4;0
Urgroßvater;4;0
Urheberrechtsdialog;4;0
Urteilen;4;0
Urvertrauen;4;0
Urwald;4;6
Useraccount;4;0
Valentinstag;4;5
Vamp;4;0
Ventil;4;0
Verbraucherministerium;4;0
Verfassungsschutzbericht;4;3
Verführer;4;0
Verkehrsminister;4;0
Verkehrswesen;4;0
Verleih;4;0
Verliebtsein;4;0
Vermittler;4;0
Vernichtungswahn;4;0
Vernunftbegriff;4;0
Verpächter;4;0
Versand;4;1
Verschlüsseln;4;0
Vertreibungsleid;4;0
Vertuschen;4;0
Verwaltungsverfahren;4;0
Verwenden;4;0
Verzweifeln;4;0
Veräußerer;4;0
Video-Portal;4;0
Vierbeiner;4;0
Vinyl;4;0
Volksvermögen;4;0
Vollprogramm;4;0
Volontariat;4;1
Vorgarten;4;0
Vorort;4;3
Vorquartal;4;0
Vorstellungsgespräch;4;0
Vortragsabend;4;0
Votum;4;0
WLAN-Hotspot;4;0
WM-Teilnehmer;4;0
Waffenschmuggel;4;0
Wagenkasten;4;0
Wahlablauf;4;0
Wahlbetrug;4;1
Wahlkreisbüro;4;0
Wahlkörper;4;0
Wahllokal;4;0
Wahlplakat;4;2
Wahlvolk;4;7
Wanderer;4;0
Wartehäuschen;4;0
Wassermannzeitalter;4;0
Wasserturm;4;0
Web-Projekt;4;0
Weblog-Anbieter;4;0
Webmontag;4;0
Webportal;4;0
Webshop;4;0
Website-Besucher;4;0
Webstuhl;4;0
Weggang;4;2
Wegweiser;4;0
Weihnachtsbaum;4;5
Weihnachtsfest;4;12
Weinen;4;0
Weißabgleich;4;0
Wellensittich;4;0
Weltherrschaftsstreben;4;0
Weltkrieg;4;11
Weltpokal;4;0
Weltwirtschaftsforum;4;0
Weltwissen;4;0
Wertungssystem;4;0
Western;4;0
Westhafen;4;0
Whisky;4;0
Widerspruchsverfahren;4;0
Wiederauftreten;4;0
Wiedereinstieg;4;0
Wiederverkauf;4;0
Wienerwald;4;1
Wikinger;4;0
Willibald-Gymnasium;4;0
Wirksamwerden;4;0
Wirtschaftsleben;4;0
Wissenschaftsbetrieb;4;2
Wissenschaftsbloggen;4;0
Wissenschaftsverlag;4;1
Wissenschaftszentrum;4;0
Wizard;4;0
Wohlergehen;4;0
Wohnumfeld;4;6
Wucherer;4;0
Zehntklässler;4;0
Zeit-Artikel;4;0
Zeitfenster;4;0
Zeitrahmen;4;0
Zentralverband;4;3
Zepter;4;0
Zinseszinseffekt;4;1
Zitatkartell;4;0
Zombie-Outbreak;4;0
Zoofachhandel;4;0
Zubehör;4;0
Zugwaggon;4;0
Zuhälter;4;0
Zwischenfall;4;1
Ärmel;4;0
Ölbedarf;4;0
Ölreichtum;4;0
Übergriff;4;2
Überweisungsträger;4;0
AGB-Recht;3;0
Abgeordnetenbüro;3;0
Abgreifen;3;0
Abi;3;0
Ablesen;3;0
Abmahnmissbrauch;3;0
Abnehmen;3;0
Abschliessen;3;0
Abschreiben;3;0
Abschweifen;3;0
Absenden;3;0
Abstammungsprinzip;3;0
Abteilungsleiter;3;0
Ackermannbogen;3;0
Action-Rollenspiel;3;0
Adoptionsrecht;3;0
Afrikaner;3;0
Aggregat;3;0
Agrarkonzern;3;0
Aids-Programm;3;0
Aktenkoffer;3;0
Aktenschrank;3;0
Aktionsaufruf;3;0
Aktionstag;3;22
Aland-Archipel;3;0
Albumtitel;3;0
Alkoholmissbrauch;3;0
Allgemeinwissen;3;0
Alternativsystem;3;0
Altmeister;3;0
Altpolitiker;3;0
Amtsträger;3;0
Anal-Bereich;3;0
Android-Gerät;3;7
Angeln;3;0
Anhänger;3;0
Animationsstudio;3;0
Anmelder;3;0
Annehmen;3;0
Anthologieforum;3;0
Antibiotikum;3;0
Antidepressivum;3;0
Antworten;3;0
Antwortschreiben;3;0
Apfelkuchen;3;0
Appartement;3;0
Apple-Gründer;3;0
Apple-Mitbegründer;3;0
Arbeitsblatt;3;5
Arbeitskampf;3;17
Arbeitsverbot;3;0
Arbeitsvertrag;3;4
Architekturbüro;3;0
Argumentieren;3;0
Arschloch;3;0
Asylantrag;3;0
Atomkonzern;3;0
Atommüll-Lager;3;0
Aufblühen;3;0
Aufgehen;3;0
Aufklärer;3;0
Aufkommen;3;0
Aufschreiben;3;0
Aufsetzen;3;0
Aufstehen;3;0
Aufstellen;3;0
Auftragsgeber;3;0
Aufwachsen;3;0
Aufzeigen;3;0
Augeninnendruck;3;0
Ausbildungsniveau;3;0
Auseinanderbrechen;3;0
Ausharren;3;0
Auskennertum;3;0
Auskunftsrecht;3;0
Auslandsaufenthalt;3;2
Auslandsgeschäft;3;1
Ausleben;3;0
Ausnahmefall;3;0
Ausrufezeichen;3;0
Aussitzen;3;0
Ausspionieren;3;0
Ausspruch;3;0
Ausspähen;3;0
Austreiben;3;0
Austrocknen;3;0
Auteur;3;0
Author;3;0
Autokonzern;3;1
Autoradio;3;0
Autorenduo;3;0
Autorenkollektiv;3;0
Autorenteam;3;0
Autoschlosser;3;0
Autostart;3;0
Autozulieferer;3;0
Außenmantel;3;0
BIP-Wachstum;3;0
BMW-Guggenheim-Lab;3;0
Backpacker;3;0
Backstein;3;0
Baggerfahrer;3;0
Bahnchef;3;0
Bahnfahren;3;0
Bahnverkehr;3;0
Bakterium;3;0
Bankeinzug;3;1
Bankensektor;3;0
Banker;3;0
Bargeld;3;5
Bartholomäusstift;3;0
Barvermögen;3;0
Basisentscheid;3;0
Basteln;3;0
Baubeginn;3;0
Bauchfell;3;0
Bauchnabel;3;0
Bauchraum;3;0
Baumaterial;3;0
Baustoff;3;0
Baustopp;3;0
Bauteil;3;0
Beamen;3;0
Beamtenrecht;3;0
Begleiten;3;0
Beipackzettel;3;0
Beisammensein;3;0
Beistand;3;0
Bekleidungsgeschäft;3;0
Belieben;3;0
Benediktinerkloster;3;0
Benzinverbrauch;3;0
Beobachten;3;0
Bergmann;3;0
Berufspolitiker;3;0
Berufsunfall;3;0
Beschleunigungssensor;3;0
Beschreiben;3;0
Besucherstrom;3;0
Besucherzentrum;3;0
Betrüger;3;0
Betteln;3;0
Bewegen;3;0
Beziehungsportfolio;3;0
Bienensterben;3;0
Biergarten;3;0
Bildaufbau;3;0
Bildschirminhalt;3;0
Bildschirmschoner;3;0
Bildungsanbieter;3;0
Bildungsbetrieb;3;0
Bildungssektor;3;0
Biskuit;3;0
Blasebalg;3;0
Blinken;3;0
Blogmaster;3;0
Blognamen;3;0
Blogsystem;3;0
Blogtitel;3;0
Blut;3;48
Blutzuckerspiegel;3;0
Blättern;3;0
Bock;3;0
Bodenniveau;3;0
Body;3;0
Bohrbeginn;3;0
Bohrer;3;0
Bohrloch;3;0
Bohrschiff;3;3
Bohrwerker;3;0
Bombenangriff;3;0
Bonatz-Bahnhof;3;0
Bonatz-Bau;3;0
Bonbon;3;0
Bookmark;3;0
Bord-Restaurant;3;0
Bordstein;3;0
Bordürenmuster;3;0
Boxsport;3;0
Brandanschlag;3;1
Branding;3;0
Brand;3;4
Brei;3;0
Breitensport;3;0
Brennvorgang;3;0
Briefwechsel;3;0
Brotbackstein;3;0
Brüllen;3;0
Buchautor;3;0
Bucherfolg;3;0
Buchrücken;3;0
Buchwesen;3;0
Bundesarchiv;3;0
Bundesaußenminister;3;0
Bundesbankvorstand;3;1
Bundesdenkmalamt;3;19
Bundesgesundheits-Ministerium;3;0
Bundesland;3;54
Bundestagswahlprogramm;3;1
Bundesverbraucherministerium;3;0
Bundesverteidigungsminister;3;0
Burnout-Syndrom;3;0
Burnout;3;0
Bußgeld;3;7
BürgerInnenbegehren;3;0
Bürgerbeteiligungsverfahren;3;0
Bürgerbüro;3;0
Bürgerforum;3;0
Bürodschungel;3;0
CD-Spieler;3;0
CDU-Parteitag;3;0
CHE-Ranking;3;0
CO2-Gehalt;3;1
CSU-Generalsekretär;3;0
Caster;3;0
Cent;3;0
Chiphersteller;3;0
Christenberg;3;1
Clementine-Player;3;0
Coffeeshop-Modell;3;0
Comedian;3;0
Community-Board;3;0
Composer;3;0
Computerbenutzer;3;0
Computerspielen;3;0
Content-Management-System;3;0
Curry;3;0
Cybermobbing;3;0
DAH-Vorstand;3;0
DRM-System;3;0
DVD-Laufwerk;3;0
Dackel;3;0
Dahinsiechen;3;0
Damm;3;1
Datenaufkommen;3;0
Datenbestand;3;0
Datenbrief;3;1
Datenmaterial;3;0
Datenmissbrauch;3;1
Davidstern;3;0
Dekalog;3;0
Demokratiedefizit;3;0
Deo;3;0
Depot;3;0
Derby;3;0
Detmolder;3;0
Deutschlandspiel;3;2
Dezernat;3;2
Dia;3;0
Dienstagsroman;3;0
Dienstrecht;3;0
Dienstwagen;3;0
Digittrade-Stick;3;0
Dingen;3;0
Discount-Wohnen;3;0
Diskussionsforum;3;0
Doppelpunkt;3;148
Dramatiker;3;0
Dreck;3;0
Drehbuchautor;3;0
Dreiteiler;3;0
Durcheinander;3;0
Durchhalten;3;0
E-Learning-Projekt;3;1
E-Mail-Verkehr;3;0
EU-Durchschnitt;3;0
EU-Indien-Gipfel;3;0
EU-Politiker;3;0
EU-Urheberrecht;3;0
EU-Vertrag;3;14
Earl;3;0
Eheleben;3;0
Ehemonster;3;0
Eigenbedarf;3;0
Eigentumsobjekt;3;0
Ein-Personen-Haushalt;3;2
Einblick;3;1
Einführungsfilmchen;3;0
Eingangsportal;3;0
Eingehen;3;0
Eins-Sein;3;0
Einsetzen;3;0
Eintauchen;3;0
Elan;3;0
Elch;3;1
Elektrosmog;3;0
Elternrat;3;0
Energiekonsum;3;0
Energieproblem;3;0
Energiespeicher;3;0
Engineering;3;0
Entdecker;3;0
Entern;3;0
Entgelt;3;2
Entwickler-Team;3;0
Entwicklerteam;3;0
Episodenfilm;3;0
Erbeben;3;0
Erblasser;3;0
Erblühen;3;0
Erdapfel;3;0
Erdenleben;3;0
Erdreich;3;2
Erfinden;3;0
Erinnerungsvermögen;3;0
Erkenntnisgewinn;3;0
Erkundungsbergwerk;3;1
Erlebnisraum;3;0
Erschaffen;3;0
Erstling;3;0
Erstlingswerk;3;3
Ertrinken;3;0
Erwachsenendasein;3;0
Erwachsenenleben;3;0
Erzkanzler;3;0
Erörterungstermin;3;0
Essverhalten;3;0
Etherpad;3;0
EuGH-Urteil;3;0
Europawahlprogramm;3;0
Exklusiv-Recht;3;0
Expertenforum;3;0
Extra;3;0
FDP-Netzpolitiker;3;0
FU-Kuratorium;3;0
Fabrikbesitzer;3;0
Fabrikkonzept;3;0
Facebookprofil;3;0
Fachbereichsrat;3;2
Fachkonzept;3;0
Fachunterricht;3;0
Fahrlehrer;3;0
Fahrwerk;3;0
Fahrzeuggewicht;3;0
Fallschirm;3;0
Familieneinkommen;3;0
Fang;3;5
Februar;3;0
Feedback-Medium;3;0
Feigenbaum;3;0
Feldversuch;3;0
Fell;3;2
Felsen;3;0
Ferienjob;3;0
Fernsehbericht;3;1
Fernsehkoch;3;0
Fernsehkonsum;3;0
Fernstudium;3;0
Fernverkehr;3;0
Festakt;3;10
Festbankett;3;0
Filmarchiv-Sommerkino;3;0
Filmfest;3;2
Filmindustrieverband;3;0
Filmmuseum;3;0
Fingerabdruck;3;1
Firmengeflecht;3;0
Firmenimperium;3;0
Fischtrawler;3;0
Flaggschiff;3;0
Flair;3;0
Flanieren;3;0
Fleischer;3;0
Flickr-Account;3;0
Flugbetrieb;3;3
Flugverbot;3;0
Flächennutzungsplan;3;9
Flüchtling;3;0
Folgemonat;3;0
Folgetag;3;14
Foltern;3;0
Formfehler;3;0
Forschungsministerium;3;0
Forschungsnetzwerk;3;0
Forschungsprogramm;3;1
Forstminister;3;0
Fort;3;0
Fotoblog;3;0
Frankfurter;3;0
Frausein;3;0
Freihandelsabkommen;3;0
Freilichtmuseum;3;0
Freisein;3;0
Freitagabend;3;0
Freiwilligenmanagement;3;0
Fremdenrechtspaket;3;0
Fremdwortgebrauch;3;0
Friedensportal;3;0
Friseursalon;3;0
Froschkönig;3;0
Frosch;3;5
Fröschlein;3;0
Fund;3;22
Fußballprofi;3;0
Fußballverband;3;4
Fußgängerverkehr;3;0
Förderantrag;3;0
Füller;3;0
Fünf-Parteien-System;3;0
Gangster;3;0
Ganztagsschulbetrieb;3;0
Gartenblog;3;0
Gartenboden;3;0
Gasometer;3;0
Gastschulabkommen;3;0
Gastverein;3;0
Gaza-Konflikt;3;0
Geborgensein;3;0
Gebrauchtwagenhändler;3;0
Geburtsdatum;3;0
Geburtsort;3;0
Gebärdensprachdolmetscher;3;0
